0   1
1	0.500000
2	0.353553        
3	0.279508
4	0.233854
5	0.202523
6	0.179518
7	0.161815
8	0.147716
9	0.136188
10	0.126558
11	0.118368
12	0.111287
13	0.105074
14	0.099548
15	0.094570
16	0.090038
17	0.085869
18	0.082005
19	0.078397
20	0.075010
21	0.071815
22	0.068791
23	0.065919
24	0.063186
25	0.060580
26	0.058092
27	0.055713
28	0.053438
29	0.051259
30	0.049173
31	0.047173
32	0.045257
33	0.043420
34	0.041658
35	0.039968
36	0.038348
37	0.036793
38	0.035302
39	0.033871
40	0.032499
41	0.031182
42	0.029918
43	0.028706
44	0.027543
45	0.026428
46	0.025357
47	0.024330
48	0.023344
49	0.022399
50	0.021491
51	0.020621
52	0.019785
53	0.018984
54	0.018215
55	0.017477
56	0.016769
57	0.016090
58	0.015438
59	0.014813
60	0.014213
61	0.013637
62	0.013085
63	0.012555
64	0.012046
65	0.011558
66	0.011090
67	0.010641
68	0.010210
69	0.009796
70	0.009399
71	0.009019
72	0.008653
73	0.008303
74	0.007966
75	0.007644
76	0.007334
77	0.007037
78	0.006752
79	0.006478
80	0.006216
81	0.005964
82	0.005723
83	0.005491
84	0.005268
85	0.005055
86	0.004850
87	0.004654
88	0.004465
89	0.004284
90	0.004111
91	0.003944
92	0.003785
93	0.003631
94	0.003484
95	0.003343
96	0.003208
97	0.003078
98	0.002953
99	0.002833
100	0.002719
101	0.002609
102	0.002503
103	0.002401
104	0.002304
105	0.002211
106	0.002121
107	0.002035
108	0.001953
109	0.001874
110	0.001798
111	0.001725
112	0.001655
113	0.001588
114	0.001524
115	0.001462
116	0.001403
117	0.001346
118	0.001292
119	0.001239
120	0.001189
121	0.001141
122	0.001095
123	0.001050
124	0.001008
125	0.000967
