10      0.000800        0.000114
50      0.001079        0.000324
100     0.001370        0.000419
200     0.001839        0.001033
300     0.001876        0.001417
400     0.002404        0.002009
500     0.002750        0.002499
700     0.003337        0.003320
800     0.003472        0.003567


